"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12953","@Web Client App login","chrome","Sun Sep 14 14:59:21 BST 2025","passed","Sun Sep 14 14:59:33 BST 2025","","E2E1.spec.js","",""
"","3614","@Web Calender validation","chrome","Sun Sep 14 14:59:20 BST 2025","passed","Sun Sep 14 14:59:24 BST 2025","","Calender.spec.js","",""
"","12995","@Web Client App login","chrome","Sun Sep 14 14:59:20 BST 2025","passed","Sun Sep 14 14:59:33 BST 2025","","E2E.spec.js","",""
"","10569","@Web Client App login","","Sun Sep 14 14:33:50 BST 2025","passed","Sun Sep 14 14:34:00 BST 2025","","E2E1.spec.js","",""
"","6412","@Web Special Locators","chrome","Sun Sep 14 14:59:21 BST 2025","passed","Sun Sep 14 14:59:27 BST 2025","","SpecialLocator.spec.js","",""
"","17705","@Web Client App login","","Sun Sep 14 14:33:50 BST 2025","failed","Sun Sep 14 14:34:07 BST 2025","","E2E2.spec.js","",""
"","3713","@Web Google Homepage Test","chrome","Sun Sep 14 14:59:24 BST 2025","passed","Sun Sep 14 14:59:28 BST 2025","","UIBasictest.spec.js","",""
"","9557","@Web Popup Validation","chrome","Sun Sep 14 14:59:21 BST 2025","passed","Sun Sep 14 14:59:30 BST 2025","","MoreValidation.spec.js","",""
"","11432","@Web Client App login","","Sun Sep 14 14:33:50 BST 2025","passed","Sun Sep 14 14:34:01 BST 2025","","E2E.spec.js","",""
"","9791","@Web Client App login","chrome","Sun Sep 14 14:59:41 BST 2025","passed","Sun Sep 14 14:59:51 BST 2025","","E2E2.spec.js","",""
"","7328","@Web Client App login","chrome","Sun Sep 14 14:59:21 BST 2025","passed","Sun Sep 14 14:59:28 BST 2025","","ClientApp.spec.js","",""
"","6233","@Web Client App login","","Sun Sep 14 14:33:50 BST 2025","passed","Sun Sep 14 14:33:56 BST 2025","","ClientApp.spec.js","",""
"","4387","@Web Visual comparison","chrome","Sun Sep 14 14:59:24 BST 2025","failed","Sun Sep 14 14:59:28 BST 2025","","MoreValidation.spec.js","",""
"","1572","@Web Google Homepage Test","","Sun Sep 14 14:33:50 BST 2025","passed","Sun Sep 14 14:33:51 BST 2025","","UIBasictest.spec.js","",""
